,clusters,mean
AHRR,9,0.005216982111036303
CLPTM1L,23,0.05857097025351393
LPCAT1,7,0.11578177698862696
AC012640.4,13,0.0008944650288506378
ANKRD33B,15,0.009497850031182205
ANKH,5,0.330545605023704
RETREG1,7,0.07203278555317247
BASP1,11,0.13212039412744414
C5orf17,13,0.0388091879036997
AC008825.1,15,0.006423498482289164
LINC02109,6,0.007696961954462585
PDZD2,13,0.03316584894195282
AC137810.1,22,0.017092313787540846
IL7R,12,0.27711202637612015
SLC1A3,8,0.10597042435280885
C9,13,0.1296943001863579
GHR,7,0.47559763355790613
NIM1K,0,0.007610054200883274
HMGCS1,23,0.08385678689586311
AC022126.1,14,0.017957545943113797
ITGA1,22,0.11565717046191869
AC008966.2,13,0.00046914508397911047
GZMK,12,0.03231197447337933
GZMA,12,0.0871667110593394
PDE4D,20,0.2337941333749695
DEPDC1B,9,0.005391072049650428
CWC27,23,0.13816902384417776
ADAMTS6,1,0.01869663803575455
AC092353.2,10,0.0037721231026542072
FCHO2,2,0.27268370601822095
AC116337.3,14,0.0075962287860896665
GCNT4,25,0.013259430274329376
S100Z,8,0.0680352236327062
LHFPL2,17,0.058158770010058924
RASGRF2,12,0.12613328988043201
VCAN,21,0.08239284630025598
VCAN-AS1,21,0.014439569096401688
AC109492.1,14,0.0034784853688234574
MEF2C,8,0.19453395687992428
LUCAT1,18,0.012511021642670398
ARRDC3-AS1,15,0.04839716963465361
AC124854.1,0,0.002241059387321288
KIAA0825,16,0.13443196913458813
SLF1,20,0.10190828759523318
MCTP1,8,0.2495760533504985
LIX1-AS1,6,0.043376142719015034
SLCO4C1,7,0.029516650250953614
EFNA5,4,0.02373601007868905
TMEM232,6,0.016143600411162442
CAMK4,12,0.2941512300235482
NREP,6,0.05416668719090956
EPB41L4A,7,0.0825440246484543
SEMA6A-AS2,3,0.0020430864229134824
AC008574.1,7,0.0019033664469734826
PRR16,9,0.006337699690749531
LINC02240,0,0.007506735971926929
MARCH3,11,0.04556271764459737
LINC01184,16,0.1242000196783458
CHSY3,2,0.09224946443331075
MEIKIN,9,0.0193601089299689
FSTL4,13,0.0030099498459357004
TCF7,16,0.10697843762977192
TGFBI,8,0.0892338911299785
SPOCK1,18,0.011842890617587185
CDC25C,18,0.0035918020481810167
NRG2,0,0.002741246765049951
HBEGF,2,0.006884372698669612
AC016598.2,1,0.0005661143453670318
PPP2R2B,16,0.2699944280329333
JAKMIP2,4,0.10982795448250511
HTR4,19,0.0021563133176797137
CSF1R,21,0.12448648330792526
CD74,11,0.17789135119644728
IRGM,25,0.008226698017195127
LINC01933,4,0.006930002915779242
SGCD,20,0.04679579312512467
TIMD4,2,0.04898040088914577
AC010609.1,12,0.04266799662406278
ADAM19,15,0.11010734014980268
AC091939.1,9,0.0008400514253874622
EBF1,0,0.0061909896318503785
CCNJL,7,0.017744802880486455
TENM2,7,0.19517601467504397
KCNIP1,17,0.02130456885162449
SH3PXD2B,2,0.026599900738575346
HRH2,17,0.030353852951525744
COL23A1,10,0.042736216445303246
ADAMTS2,2,0.10379877384374613
LINC01622,18,0.0014797048350238034
SLC22A23,2,0.180636133330188
AL162718.1,10,0.0016788412761917742
F13A1,21,0.03526826517823845
BMP6,3,0.009363359749548918
TXNDC5,8,0.018713738055659054
PHACTR1,8,0.11844128115183071
GFOD1,16,0.15473339195122016
CD83,11,0.058127771023255226
AL138720.1,3,0.021230077494391163
RNF144B,8,0.16576236180718867
MIR548A1HG,5,0.002623587907533383
AL158198.1,16,0.022069528355123817
CARMIL1,17,0.14248411804674754
HIST1H1E,15,0.0120027945919012
AL645939.5,1,0.004157654863661723
HLA-A,4,0.30520959437056405
MUC22,3,0.00031993582733446844
HLA-B,20,0.38297042478162807
TNF,1,0.020128424791720608
LTB,16,0.13265723353526473
LST1,2,0.10259540826966558
HSPA1A,17,0.050537783963113786
HSPA1B,8,0.03398200150569509
EHMT2-AS1,1,0.004149935439449955
TSBP1-AS1,13,0.00896585456887066
HLA-DRA,11,0.07123467056948482
HLA-DRB5,11,0.045382044024641195
HLA-DRB1,11,0.10968927892009359
HLA-DQA1,11,0.03715484299468325
HLA-DPA1,11,0.04449529772309378
HLA-DPB1,11,0.09650455930058113
PACSIN1,3,0.0047190483821180984
PPARD,9,0.11371786745023583
FKBP5,10,0.4186262471239523
CPNE5,3,0.0031190193081597505
MDGA1,25,0.014059183700368003
LRFN2,25,0.005651021100901429
RUNX2,16,0.18176304193167045
CLIC5,24,0.023869144339159255
PLA2G7,21,0.06257117504126705
GLYATL3,25,0.0007074638245547521
KLHL31,15,0.0013568668397420736
MLIP,7,0.21022719431463632
BMP5,1,0.0032088765833015558
AL021368.1,13,0.0011987480029853812
KHDRBS2-OT,19,0.0008386973977691254
KHDRBS2,8,0.018310364852021987
LINC02549,5,0.0006808170235571716
ADGRB3,18,0.020629909592550663
KCNQ5,24,0.15691935271978266
AC019205.1,7,0.03410667841442125
EEF1A1,20,0.21616718734052828
ME1,9,0.24308606477095032
SNAP91,14,0.0014099391050364344
BACH2,7,0.19024637099946437
MMS22L,6,0.07923222183257597
AL096794.1,7,0.00913795754002535
CRYBG1,22,0.15678567591363707
SOBP,10,0.06728435392701754
Z98742.4,5,0.0005353670295611994
AK9,4,0.07498583365495387
METTL24,25,0.010232144869945415
SLC16A10,5,0.05428321249917065
AL512283.2,19,0.0018855765624181153
THEMIS,12,0.47461007362577545
AL590006.1,1,0.010019674054301141
ARHGAP18,18,0.14201014596561376
SAMD3,12,0.423772265692516
TMEM200A,4,0.016006562412819395
EPB41L2,8,0.33018753414022783
SGK1,17,0.05814451368308486
IL20RA,5,0.0009860726582294496
WAKMAR2,23,0.03105473447998618
TNFAIP3,1,0.06032880322294576
AL357146.1,19,0.0006623615675734114
AL035446.2,2,0.07654291299262617
AL445123.2,1,0.0019570055715185117
SASH1,2,0.2485359835906965
UST,9,0.226578562993061
PLEKHG1,5,0.1366278263105511
MTHFD1L,6,0.06463441609308951
SYNE1,20,0.4718152063276611
MYCT1,19,0.0027601076141286415
OPRM1,1,0.07229265882661243
AL589693.1,25,0.05532392509102257
SYTL3,22,0.2622263320888713
EZR,4,0.11959122073533666
AL078604.4,3,0.030023459613905998
SOD2,11,0.13558559392685157
AGPAT4,6,0.07255281644701245
LINC02519,9,0.00039377014339597114
FAM20C,11,0.07237105829530363
AC147651.1,7,0.00044643847897965624
SNX8,11,0.09391570042005039
CHST12,25,0.13428332237508392
GNA12,11,0.0881207069372207
CARD11,4,0.46159952884135
AC024028.1,20,0.025794569728050873
AC073316.1,3,0.00047584531464118243
SDK1,6,0.0271490679834646
AC072054.1,0,0.0016953563844616566
SLC29A4,3,0.0025434255739469423
ACTB,4,0.25913822260354513
CYTH3,22,0.0999659386540333
GLCCI1,20,0.30733336994858057
NXPH1,3,0.0010032166248174351
AC011287.1,1,0.02633894868905091
AC073332.1,1,0.04354214060812314
HDAC9,11,0.5965614911663755
AC005062.1,9,0.006799858273539208
MACC1,9,0.020415271904906242
GPNMB,2,0.0649861193077269
AC004485.1,5,0.0009152117599667526
CREB5,8,0.05298221075809131
CPVL,11,0.21773751260309676
PDE1C,6,0.006376909359445326
BMPER,7,0.04795469291008063
EEPD1,10,0.11187563548894745
EPDR1,17,0.03247415470449616
TRGC2,12,0.09308787114030632
TRGC1,12,0.040871679604057354
TRG-AS1,16,0.23644236553167255
AC072061.1,15,0.0011666587949666727
GLI3,13,0.004721692051243258
AC005537.1,3,0.0020538089728976525
AEBP1,0,0.005330284388970286
IGFBP1,15,0.06535869179322233
TNS3,8,0.2967529339813676
LINC01446,11,0.005177925761807115
EGFR,13,0.13340795144773732
AUTS2,15,0.39236579960856843
LAT2,3,0.0663791544865806
CLIP2,10,0.06323676028699604
NCF1,2,0.03868614933532644
HIP1,6,0.36498723698400726
CD36,2,0.12584768007859098
SEMA3C,17,0.013395808486985896
HGF,9,0.022205145038557157
SEMA3A,4,0.008396373506364923
AC074183.1,19,0.0004366039281096313
KIAA1324L,4,0.03158851812857345
ABCB4,15,0.14100380100800455
ABCB1,7,0.1218059229803529
ADAM22,16,0.025667989800001397
SGCE,4,0.04740716840737974
PPP1R9A,1,0.026320892151233892
PDK4,9,0.10655444146313024
CYP3A5,1,0.3465500143604763
CYP3A7,11,0.046848496357912786
CYP3A4,16,0.11876360137013098
AC004522.5,19,0.0010009185083757043
PILRA,10,0.10305670082854783
AC092849.1,7,0.0007298197924212467
SERPINE1,5,0.06244410951034737
COL26A1,9,0.020349973315545906
CDHR3,4,0.07508154348082295
NAMPT,2,0.17849887029803568
DOCK4,2,0.4410864762764535
LINC01393,4,0.0090649555920656
TFEC,21,0.09665854751293443
POT1-AS1,23,0.01336804150601483
LINC00513,7,0.1101870832558068
PLXNA4,3,0.01894735179711281
AC078845.1,15,0.05833764583350115
TBXAS1,8,0.4119410189804406
TMEM178B,1,0.010470790601540388
MGAM,9,0.01035441789169947
CLEC5A,10,0.005224450678803494
TRBC1,24,0.05222778681178481
TRBC2,20,0.08038824789355144
EPHA1-AS1,0,0.04758640654579971
CNTNAP2,3,0.02841005595061641
EZH2,6,0.06409484588928387
LINC00996,0,0.01679479632427455
