,clusters,mean
MAD2L1,5,0.008762802004034157
NDNF,10,0.22303073578013435
TNIP3,10,0.0032489653828155053
ANXA5,4,0.11404665551254368
TMEM155,12,0.006604801998894313
CCNA2,1,0.01276343026299175
ANKRD50,8,0.10821227645878476
SCLT1,3,0.12023757176743381
PABPC4L,20,0.00844203830509895
UCP1,18,0.0001385333959319521
RNF150,7,0.03241261055362508
INPP4B,5,0.08203436122980808
SMARCA5,10,0.3970496002156278
FREM3,20,0.030459976904252367
GYPB,10,0.007635061733841288
GYPA,9,0.003890834806854886
HHIP,3,0.021383965016603956
TTC29,1,0.002515828089057766
C4orf45,15,0.0036061914960755104
FSTL5,3,0.005637280386070121
NPY1R,5,0.0001406354459537086
TRIM61,8,0.004022990156597685
TLL1,2,0.012009420213342437
HMGB2,1,0.06370977366307455
SCRG1,2,0.0009883716417039335
GLRA3,19,0.0007713707810198614
GPM6A,10,0.03685040462732538
SPATA4,1,0.0003340853093779574
VEGFC,3,0.02613143725670564
CLDN22,6,0.0011201959151257786
IRF2,15,0.039095720370264396
ACSL1,2,0.0064979277192233325
KIAA1430,8,0.0314163370114296
SNX25,2,0.05208530197785822
CCDC110,8,0.0007850341400712392
SLC6A3,10,0.00047588228437923745
IRX2,8,0.18541238587809755
MED10,4,0.015534081231155284
ADCY2,7,0.02425946286974549
SEMA5A,4,0.05669841878217235
CTNND2,8,0.06363536150372084
DNAH5,7,0.007276342029598059
CDH12,0,0.008219469980754894
C5orf17,13,0.036183776154711425
CDH10,6,0.01772009206609477
ADAMTS12,0,0.009777437562759575
PRLR,3,0.025704633596820438
RANBP3L,21,0.000837440208490524
GDNF,9,8.210445484927073e-05
FYB,9,0.0010436453467810177
SEPP1,10,0.07379520519728358
CCL28,0,0.00044482087158213845
FGF10,1,0.017095521909168875
CDC20B,2,0.003860652697630162
CCNO,3,0.0007675155281406018
DEPDC1B,1,0.01886142846815551
ADAMTS6,5,0.21274187289667165
CENPK,5,0.04915744411305472
CCNB1,1,0.016938051559802724
ZNF366,7,0.00024382487060097444
ENC1,1,0.12691682063292697
GCNT4,9,0.00021414311557462734
S100Z,0,0.014640188368782234
HOMER1,0,0.03455588002299198
DHFR,13,0.014721213725252653
VCAN,0,0.04413693796757189
HAPLN1,11,0.0010660261597342702
EDIL3,19,0.051581436686480985
AC008394.1,9,0.00012735726927132164
RASA1,5,0.12130359656056526
ARRDC3,15,0.06378264193557202
KIAA0825,11,0.07859437660973888
GLRX,6,0.016704803493463403
C5orf27,20,0.00014215781906566318
ELL2,1,0.12133111467236306
PCSK1,14,0.0005962095651522619
ST8SIA4,7,0.007897889684588226
SLCO4C1,2,0.01215577175062003
EPB41L4A,15,0.09278259307031944
FEM1C,3,0.019511990959298335
CTD-2287O16.3,8,0.0005703070538414341
SEMA6A,2,0.023456318077762467
PPIC,7,0.0097147917518533
MARCH3,3,0.02430989373055353
CHSY3,20,0.04248078777414635
CTC-432M15.3,14,0.0005278934514878359
IRF1,0,0.012996936322915417
CXCL14,15,0.01023166013122004
TRPC7,5,0.00032698317682386624
CDC25C,3,0.020606192445898282
EGR1,15,0.09289606776643544
HSPA9,0,0.07959741566421553
LRRTM2,0,0.0011925505976466432
PCDHA1,14,8.534773910251065e-05
PCDHGA5,20,0.00035233690299185585
PCDHGA12,12,0.00013564265868362267
SPRY4,7,0.004659866305202244
FGF1,5,0.004255700607781054
JAKMIP2,3,0.007041228311013589
SCGB3A2,2,0.28293738062765106
C5orf46,2,0.01591747282572813
SPINK5,0,0.0013633945461424659
TIGD6,6,0.0025890859814196167
CSF1R,12,0.0011391700705232072
CD74,7,0.05376593165637148
DCTN4,13,0.07468116781923324
FAT2,0,0.0004140412034534947
NMUR2,9,0.00015980775616340802
HAVCR1,5,0.00040549766497633907
MED7,12,0.0072072048082409785
EBF1,3,0.008320252430076239
UBLCP1,5,0.03029204645863133
C1QTNF2,7,0.0007816556492316757
AC112205.1,8,0.0016436061356032133
SLIT3,0,0.009515583064021383
LCP2,10,0.000647749154017235
KCNMB1,12,0.0003073214654797377
DUSP1,4,0.1285493556781843
SNCB,21,0.00017453525551017118
HK3,1,0.00014447210070928242
MXD3,3,0.02154416319133863
PRR7,3,0.0006068045292359239
DBN1,16,0.054237043302766824
PDLIM7,13,0.020144964073296214
FAM153A,1,0.00024551152100695737
GRM6,9,0.00024219172872283552
RASGEF1C,6,0.0012681843766351173
SCGB3A1,0,0.009620679093072083
BTNL8,12,0.000210561534007639
C6orf195,9,0.0002973182871967204
F13A1,19,0.0014008806627605302
TFAP2A,0,0.00110572440088902
MAK,13,0.016129723744610722
ERVFRD-1,20,9.938475648169449e-05
NEDD9,10,0.12857505264351818
ADTRP,9,0.0021469630594760443
PHACTR1,8,0.1433639264374737
NHLRC1,0,0.001207674550718258
C6orf62,17,0.0793902229498839
SCGN,5,0.001069635162798486
HIST1H1A,1,0.011236321476153055
HIST1H1C,6,0.01727030870405059
HIST1H4C,17,0.04778791893478365
HIST1H2BC,6,0.011110948168995273
HIST1H2AC,8,0.09933284028740992
HIST1H1D,1,0.020734670530834293
HIST1H3G,5,0.0003237857291510069
HIST1H4H,3,0.0004717733133710689
BTN1A1,6,0.00010292937380677796
ZNF322,6,0.004233810503114199
HIST1H2BJ,5,0.007812168444738843
HIST1H2BK,6,0.03435968564217739
HIST1H2BL,1,0.00011721916352401656
HIST1H2AK,18,0.00010056958509985337
HIST1H2AL,14,0.0001404545465491236
HIST1H3J,16,0.0008922051168432943
GPX6,21,0.0015711924816966282
