C,Z,Pval,FDR,module,gene
0.0055013277446955,2.4482944712409433,0.0071767146825321365,0.013572978928297195,-1,OPA1
0.0041211740643859445,2.4476461097577986,0.0071896405517345024,0.013596377119221098,82,NKAIN1
0.0050069990445067965,2.4474926123034915,0.0071927037132749165,0.013601121709181874,7,SERPINI2
0.005782388974855948,2.446745706460981,0.007207625235603521,0.013628287537099305,-1,AC093525.7
0.005652504492234945,2.4459381909783624,0.007223788311346769,0.013657796546123613,-1,SYPL1
0.005541179280734761,2.445898421062496,0.007224585163621494,0.013658250795848061,-1,ALG9
0.005560415128142197,2.445163276033979,0.007239328906937184,0.013685069874996653,-1,AC098484.4
0.007160048843084453,2.4446050001672117,0.007250543159641537,0.013705213264092103,-1,ADORA1
0.006392327575463453,2.444298549802027,0.007256705428603732,0.013715804861165139,-1,AC007610.2
0.004776935767438696,2.443627516558802,0.007270215056177371,0.013740280904462145,-1,AC051619.6
0.004998845979910226,2.44294400111597,0.007283998775873022,0.013765271156037588,-1,SNRNP40
0.005627823541895987,2.4423660261120634,0.007295672148450642,0.013786269740553697,135,SENP2
0.005159237794503453,2.4422545746340614,0.007297925032035683,0.01378946503127155,115,TADA2B
0.0053093152823586115,2.4415931505096724,0.007311307704313656,0.013813688000935695,-1,ALDH9A1
0.005718686805049697,2.4411433225574664,0.007320421481605066,0.013829842384872332,-1,KPNA3
0.005753914438384137,2.441024153920253,0.0073228375852307254,0.013833341917165265,-1,C16orf87
0.0049333619627339115,2.4407170963069045,0.007329066313473726,0.013844042665409263,-1,VAMP5
0.005402151165437682,2.44063558384191,0.007330720595217488,0.013846101653790173,-1,PIK3R4
0.00529998565059506,2.4404075549760487,0.007335350151081288,0.013853779524157912,-1,PHF7
0.00531994331913989,2.440189510663744,0.007339779405741116,0.013861077946550813,-1,RNF20
0.004740647160124251,2.4397601838050664,0.007348507450829221,0.013876492830773239,-1,DNAJA2
0.005003250502164068,2.4396812071502314,0.007350114010805672,0.013878458580421698,-1,ZNF79
