"gene_name","module","kME"
"LAPTM4A","blue",0.0969900953395952
"ATP5G1","blue",0.0968188829970344
"CFHR2","blue",0.0968048396244953
"ANPEP","blue",0.0967937149865876
"GNG5","blue",0.0967784171859249
"SLC31A1","blue",0.0967647161353375
"SET","blue",0.09676017507156
"SLC22A17","blue",0.0967202206064442
"TOP2A","blue",0.0966813457225635
"CFL2","blue",0.0965930933756137
"CHST13","blue",0.0965665696960659
"RRM2","blue",0.0965252267061661
"TM9SF3","blue",0.0963492633354614
"TMEM86B","blue",0.0963406421073567
"CALM2","blue",0.0963349903413921
"FAM210B","blue",0.0962714028735411
"OXT","blue",0.0962521806231167
"SRSF9","blue",0.095971276989723
"STOM","blue",0.0957862414061477
"ISCU","blue",0.0953957587266238
"LIPA","blue",0.0953869832845383
"CYP27A1","blue",0.0952229476646019
"GRINA","blue",0.0950214426650973
"RETSAT","blue",0.0949995595431747
"ASPDH","blue",0.0949437658437381
"SYVN1","blue",0.0947384859811019
"TUBB4B","blue",0.0947061748604566
"NCL","blue",0.094609329310545
"IDH1","blue",0.0946009097583574
"AHNAK","blue",0.094296078409286
"CHPF","blue",0.0942573084377024
"MGAT1","blue",0.0942508333069726
"GYPB","blue",0.0941797966924212
"ADH5","blue",0.0941776050387535
"TSPAN3","blue",0.0941333518822117
"ACOT2","blue",0.0940083620803302
"CKAP4","blue",0.0939155679575932
"ACP2","blue",0.0939049500269611
"AAMP","blue",0.0938160945906091
"C1S","blue",0.0938047803471149
"ODC1","blue",0.0937351638218656
"BTG1","blue",0.0935706161285186
"TRIM28","blue",0.0931767685846776
"C19orf53","blue",0.0931500242335918
"C7orf55","blue",0.0931448403315834
"PHGDH","blue",0.0929272465206533
"TMEM9","blue",0.0928760221818887
"C16orf13","blue",0.0926991064927231
"RBM38","blue",0.0926799697166442
"H2AFJ","blue",0.0925398942462848
"PIGQ","blue",0.0925357381580561
"ALDH9A1","blue",0.0924978502102937
"NUDC","blue",0.0924082113745676
"GADD45GIP1","blue",0.0923763269787618
"NDN","blue",0.0922696996400917
"ILVBL","blue",0.0922557453035635
"ACTN4","blue",0.0922360359795633
"CD99","blue",0.0920603862470066
"KLHDC3","blue",0.0920237101033314
"BEX4","blue",0.0919942486643862
"PC","blue",0.0918880399146988
"PIPOX","blue",0.0918394725856161
"PTBP1","blue",0.0918026925894089
"MKI67","blue",0.0917281891977514
"SCARB2","blue",0.0916991217619373
"CHCHD10","blue",0.0916838800666738
"PSMA4","blue",0.0916546610957217
"SNRPB","blue",0.091654407637083
"TFRC","blue",0.0916532791920705
"TMBIM4","blue",0.0916253164065991
"NEDD8","blue",0.0915656415398751
"SCP2","blue",0.0915246473063181
"ERP29","blue",0.0914476556643127
"FECH","blue",0.0913209648793288
"PROC","blue",0.0912320052697435
"LAMTOR5","blue",0.0912124008213068
"EMC10","blue",0.0911656653059446
"USF2","blue",0.0910627837224918
"SPTA1","blue",0.0910276759387754
"NYNRIN","blue",0.0909901564612428
"DAZAP2","blue",0.0907368129903502
"GSTK1","blue",0.09064055129492
"KHK","blue",0.0905506150895044
"NT5E","blue",0.0903717018046027
"SPP2","blue",0.0903618158239492
"GUK1","blue",0.0902182720303182
"RHOA","blue",0.0897228379938272
"TMEM167A","blue",0.0896503984593526
"PMVK","blue",0.0895884502132581
"ATP6V0B","blue",0.0895792229294163
"NUDT16L1","blue",0.0895179551713118
"DAD1","blue",0.089515800995569
"PTP4A2","blue",0.0894993898999289
"COL5A2","blue",0.0893783142477847
"HNRNPA3","blue",0.089365439957888
"F13B","blue",0.0893460000325756
"GNAI2","blue",0.0892718054195551
"VCAM1","blue",0.0891769713213857
"SRD5A3","blue",0.0891568375154675
"RNF5","blue",0.0891109198159332
"CSRP1","blue",0.089085397092123
"CRYZ","blue",0.0888787610372937
"CPT2","blue",0.0888261347035786
"SLC22A7","blue",0.0887618062798526
